Geneid	control_1	control_2	control_3	L1OE_1	L1OE_2	L1OE_3
ENSG00000000000	13	15	15	14	14	13
ENSG00000000001	11	9	8	9	9	13
ENSG00000000002	9	10	7	8	7	10
ENSG00000000003	6	6	8	7	8	7
ENSG00000000004	15	14	15	14	13	15
ENSG00000000005	16	14	13	14	15	14
ENSG00000000006	19	18	16	17	17	17
ENSG00000000007	12	11	15	12	11	15
ENSG00000000008	14	16	14	15	15	16
ENSG00000000009	13	9	10	12	10	8
ENSG00000000010	11	10	12	11	13	14
ENSG00000000011	15	13	14	15	13	13
ENSG00000000012	8	8	6	11	12	12
ENSG00000000013	18	16	15	15	15	17
ENSG00000000014	9	12	10	6	5	8
ENSG00000000015	14	13	15	14	14	13
ENSG00000000016	14	12	12	16	13	12
ENSG00000000017	15	16	20	14	14	14
ENSG00000000018	16	16	15	20	16	18
ENSG00000000019	17	17	19	18	17	17
ENSG00000000020	5	6	4	7	6	8
ENSG00000000021	15	14	14	15	8	9
ENSG00000000022	12	11	8	10	9	10
ENSG00000000023	24	23	23	24	22	21
ENSG00000000024	11	10	10	9	9	10
ENSG00000000025	7	8	6	7	6	8
ENSG00000000026	5	5	9	7	5	6
ENSG00000000027	7	7	9	10	10	8
ENSG00000000028	8	8	7	3	2	1
ENSG00000000029	7	7	9	7	8	7
ENSG00000000030	11	10	15	10	12	11
ENSG00000000031	9	7	6	6	5	7
ENSG00000000032	7	9	8	9	9	9
ENSG00000000033	12	7	9	7	9	8
ENSG00000000034	13	13	15	15	14	14
ENSG00000000035	13	13	17	13	12	11
ENSG00000000036	20	16	19	19	19	19
ENSG00000000037	10	15	9	11	10	11
ENSG00000000038	15	10	10	11	11	11
ENSG00000000039	22	21	21	21	21	25
ENSG00000000040	15	11	13	13	14	13
ENSG00000000041	15	15	14	30	32	30
ENSG00000000042	5	5	6	6	3	3
ENSG00000000043	10	11	12	10	15	11
ENSG00000000044	19	13	13	11	13	14
ENSG00000000045	21	22	19	19	20	20
ENSG00000000046	5	4	3	4	4	4
ENSG00000000047	11	13	11	14	16	10
ENSG00000000048	10	12	11	12	11	10
ENSG00000000049	16	13	14	15	14	13
ENSG00000000050	9	13	9	11	10	8
ENSG00000000051	10	11	9	19	21	18
ENSG00000000052	21	22	22	21	20	22
ENSG00000000053	7	6	6	7	6	7
ENSG00000000054	15	15	16	29	31	32
ENSG00000000055	7	9	11	7	9	9
ENSG00000000056	16	19	14	14	15	16
ENSG00000000057	11	9	10	12	9	11
ENSG00000000058	9	9	9	8	11	10
ENSG00000000059	16	16	16	7	8	6
ENSG00000000060	11	10	10	9	10	10
ENSG00000000061	10	10	10	8	10	7
ENSG00000000062	15	14	15	15	16	16
ENSG00000000063	12	10	11	14	11	15
ENSG00000000064	9	11	10	12	10	9
ENSG00000000065	7	10	8	7	8	9
ENSG00000000066	16	15	16	16	16	18
ENSG00000000067	10	11	9	10	10	8
ENSG00000000068	9	12	9	7	10	9
ENSG00000000069	14	11	12	14	11	11
ENSG00000000070	11	9	10	5	3	4
ENSG00000000071	13	15	12	13	13	14
ENSG00000000072	13	16	15	12	15	15
ENSG00000000073	13	10	11	14	11	11
ENSG00000000074	15	15	17	17	18	17
ENSG00000000075	21	19	21	54	55	57
ENSG00000000076	9	7	12	8	8	10
ENSG00000000077	14	17	17	16	15	15
ENSG00000000078	12	13	15	13	13	14
ENSG00000000079	13	13	14	13	15	13
ENSG00000000080	12	15	15	15	17	13
ENSG00000000081	15	13	12	15	15	15
ENSG00000000082	5	7	6	8	6	8
ENSG00000000083	10	9	12	9	10	16
ENSG00000000084	11	11	12	13	13	11
ENSG00000000085	27	26	26	25	27	25
ENSG00000000086	9	9	7	7	7	6
ENSG00000000087	18	18	19	5	5	8
ENSG00000000088	11	7	9	10	7	7
ENSG00000000089	8	12	9	12	9	9
ENSG00000000090	12	16	12	13	11	12
ENSG00000000091	12	10	12	4	3	2
ENSG00000000092	12	9	9	9	8	9
ENSG00000000093	12	13	13	12	10	12
ENSG00000000094	15	15	14	26	27	25
ENSG00000000095	21	21	22	20	24	23
ENSG00000000096	15	16	15	15	17	17
ENSG00000000097	12	15	12	15	14	12
ENSG00000000098	8	9	10	8	10	9
ENSG00000000099	15	16	19	17	17	17
ENSG00000000100	11	12	10	10	13	12
ENSG00000000101	11	9	9	11	10	9
ENSG00000000102	12	8	10	8	10	9
ENSG00000000103	9	8	9	10	14	9
ENSG00000000104	13	12	13	12	13	13
ENSG00000000105	10	8	8	5	7	12
ENSG00000000106	19	20	18	20	19	20
ENSG00000000107	10	13	10	9	9	9
ENSG00000000108	19	19	22	18	18	19
ENSG00000000109	14	15	16	15	15	14
ENSG00000000110	17	18	21	17	18	19
ENSG00000000111	13	11	8	12	8	10
ENSG00000000112	10	9	11	10	8	9
ENSG00000000113	9	13	10	9	10	11
ENSG00000000114	7	7	9	13	15	15
ENSG00000000115	6	7	6	7	8	8
ENSG00000000116	14	13	12	11	11	14
ENSG00000000117	15	15	15	15	15	16
ENSG00000000118	13	12	12	12	17	12
ENSG00000000119	16	17	17	16	17	17
ENSG00000000120	9	9	9	8	8	11
ENSG00000000121	12	10	15	11	13	8
ENSG00000000122	15	16	15	45	43	44
ENSG00000000123	7	5	3	5	8	4
ENSG00000000124	16	20	15	15	15	15
ENSG00000000125	13	13	15	13	14	12
ENSG00000000126	10	14	15	8	5	7
ENSG00000000127	5	6	6	6	7	7
ENSG00000000128	17	19	15	17	16	16
ENSG00000000129	25	24	25	26	27	25
ENSG00000000130	13	11	11	10	13	10
ENSG00000000131	12	12	12	12	12	11
ENSG00000000132	11	8	8	10	11	10
ENSG00000000133	20	18	20	19	17	20
ENSG00000000134	11	10	15	13	12	11
ENSG00000000135	12	13	11	5	7	8
ENSG00000000136	18	16	20	21	18	20
ENSG00000000137	7	8	9	8	13	7
ENSG00000000138	13	11	13	13	12	14
ENSG00000000139	14	12	14	13	14	14
ENSG00000000140	12	15	14	4	5	6
ENSG00000000141	10	10	12	21	20	22
ENSG00000000142	8	8	10	8	7	7
ENSG00000000143	12	13	15	13	11	14
ENSG00000000144	8	11	12	7	10	9
ENSG00000000145	7	6	8	6	8	9
ENSG00000000146	4	5	6	6	4	6
ENSG00000000147	8	8	8	7	9	7
ENSG00000000148	5	7	5	6	7	7
ENSG00000000149	12	13	15	10	13	13
ENSG00000000150	25	22	23	23	21	21
ENSG00000000151	19	16	16	16	19	19
ENSG00000000152	12	11	14	13	17	11
ENSG00000000153	7	6	9	8	6	8
ENSG00000000154	10	11	12	14	11	13
