lncRNA_id,line1_element,association_type,distance
ENSG00000000610,LINE1_45,overlap,0
ENSG00000000918,LINE1_37,overlap,0
ENSG00000000342,LINE1_93,overlap,0
ENSG00000000259,LINE1_31,overlap,0
ENSG00000000395,LINE1_53,proximal,31662
ENSG00000000140,LINE1_65,containing,0
ENSG00000000075,LINE1_37,proximal,15917
ENSG00000000320,LINE1_25,proximal,15768
ENSG00000000277,LINE1_17,overlap,0
ENSG00000000087,LINE1_58,overlap,0
ENSG00000000403,LINE1_55,containing,0
ENSG00000000698,LINE1_37,proximal,25923
ENSG00000000771,LINE1_58,proximal,6126
ENSG00000000912,LINE1_30,overlap,0
ENSG00000000651,LINE1_30,overlap,0
ENSG00000000923,LINE1_54,containing,0
ENSG00000000782,LINE1_85,containing,0
ENSG00000000455,LINE1_39,proximal,15190
ENSG00000000041,LINE1_50,overlap,0
ENSG00000000645,LINE1_86,proximal,2389
ENSG00000000091,LINE1_1,containing,0
ENSG00000000590,LINE1_40,containing,0
ENSG00000000246,LINE1_68,proximal,6957
ENSG00000000070,LINE1_42,overlap,0
ENSG00000000059,LINE1_35,containing,0
