Geneid,Length,counts,fpkm
ENSG00000292994.1,8224,16,0.06349536309814943
ENSG00000290385.1,6204,11,0.05786634154689505
ENSG00000291215.1,7026,45,0.20903042249646972
ENSG00000237491.10,8413,27,0.10474131095639103
ENSG00000225880.6,3312,24,0.23649722197426673
ENSG00000228794.12,17958,2437,4.428969525185307
ENSG00000288531.1,3292,44,0.4362123729731918
ENSG00000272512.1,2086,43,0.672758636239357
ENSG00000240731.1,386,52,4.396642655148543
ENSG00000224870.9,2532,90,1.1600693115799339
ENSG00000272455.1,1523,29,0.6214457533427548
ENSG00000215014.5,2349,11,0.15283217665259125
ENSG00000272106.1,2038,351,5.6209285760498195
ENSG00000268575.1,5079,29,0.18634807685391128
ENSG00000293188.1,2361,86,1.1887967091870382
ENSG00000290854.1,3264,37,0.3699616468751856
ENSG00000231050.3,1417,15,0.34548288601745386
ENSG00000287356.1,5794,10,0.05632829933111635
ENSG00000292993.1,2407,17,0.2305037319283879
ENSG00000177133.14,6044,12,0.06479804758262503
ENSG00000293478.1,9700,241,0.8108685163319755
ENSG00000236423.8,4676,19,0.13261242857496305
ENSG00000237436.1,415,18,1.4155640949013941
ENSG00000269925.1,393,10,0.8304482603676542
ENSG00000284747.1,4116,26,0.20615938591925875
ENSG00000232912.6,1178,18,0.49869193496101744
ENSG00000284693.2,3456,32,0.30219089474489635
ENSG00000235263.1,708,11,0.5070660776227922
ENSG00000284735.1,2381,15,0.20560657265297444
ENSG00000272078.1,7923,12,0.04943069539181947
ENSG00000285646.2,3071,18,0.1912924452569451
ENSG00000237938.5,1533,11,0.23418315913694515
ENSG00000179743.4,2473,182,2.4018860602934424
ENSG00000288398.1,2662,17,0.20842317158212986
ENSG00000226029.1,3245,22,0.2212651975081275
ENSG00000290842.1,6811,46,0.22042054985943987
ENSG00000291072.1,4899,166,1.1058743337388246
ENSG00000238142.4,2149,45,0.6834098410703565
ENSG00000117242.7,4443,62,0.45542881638798693
ENSG00000218510.9,3764,39,0.33815835511835907
ENSG00000261326.5,6182,99,0.5226504442918848
ENSG00000249087.9,2901,53,0.5962566982143354
ENSG00000271420.1,650,21,1.0544137681252692
ENSG00000285802.1,1322,13,0.32093495932060095
ENSG00000284602.1,2190,43,0.6408102809110954
ENSG00000272432.1,485,10,0.6729199305659548
ENSG00000270605.1,1945,284,4.765449420881985
ENSG00000242125.3,4088,117,0.9340714642848607
ENSG00000197989.15,4266,56,0.4284225343218783
ENSG00000229388.1,978,16,0.5339323784449702
ENSG00000291132.1,3496,38,0.35474583296140005
ENSG00000225313.5,4015,47,0.3820475670548179
ENSG00000284650.1,1039,15,0.4711734836253437
ENSG00000233621.3,3462,54,0.5090633443536209
ENSG00000228436.4,2099,11,0.17103515148019857
ENSG00000291129.1,6081,106,0.5689000761453006
ENSG00000259943.2,1639,194,3.863028448258126
ENSG00000260920.2,2449,11,0.1465915814442372
ENSG00000238287.1,605,28,1.510454984642259
ENSG00000272145.2,1695,25,0.48136602702726855
ENSG00000281207.1,4800,12,0.08159154158112202
ENSG00000285728.3,3472,45,0.4229976234044344
ENSG00000236200.7,4302,23,0.17448679278157198
ENSG00000229444.1,469,228,15.86598846950603
ENSG00000237950.3,2224,23,0.3375189669722673
ENSG00000233602.1,619,14,0.7381464181813947
ENSG00000230896.1,598,53,2.8925429456852623
ENSG00000226252.1,4036,17,0.13746840504252472
ENSG00000227070.2,519,12,0.7546038527733828
ENSG00000266993.3,1819,12,0.21530478262198224
ENSG00000198711.5,2624,43,0.5348226048762571
ENSG00000260971.4,7878,65,0.2692790151192146
ENSG00000234807.8,6160,16,0.08477043281155534
ENSG00000232453.7,2068,26,0.4103249673325285
ENSG00000224609.8,7581,91,0.3917599411097271
ENSG00000270457.1,338,10,0.9655803737410888
ENSG00000226476.7,15496,69,0.14532308645063033
ENSG00000231252.4,4379,18,0.13415371075224447
ENSG00000237928.6,6214,19,0.09979010557073179
ENSG00000230798.7,2242,14,0.2037968924416964
ENSG00000226891.9,7863,56,0.23243679656837507
ENSG00000232284.9,3645,16,0.14326086861980272
ENSG00000197568.15,1241,20,0.5259728707888606
ENSG00000229956.11,14877,33,0.07239418894070111
ENSG00000235927.4,2292,36,0.5126170151693531
ENSG00000285928.1,1795,180,3.272752642808237
ENSG00000271576.2,1631,43,0.8604380841172893
ENSG00000223653.6,4769,11,0.0752784195757888
ENSG00000236915.3,8476,15,0.05775710824524918
ENSG00000267272.5,6717,20,0.09717616981524135
ENSG00000237505.8,16635,38,0.07455313688205918
ENSG00000231999.8,12510,43,0.1121802170419903
ENSG00000233593.12,14454,147,0.33192075861145526
ENSG00000273487.1,1293,27,0.6815070758515992
ENSG00000223745.8,6284,145,0.7530727898957793
ENSG00000260464.1,1766,19,0.3511300770195511
ENSG00000235501.8,3332,19,0.18610315606738514
ENSG00000226026.7,4619,32,0.2261034276333323
ENSG00000228852.6,1418,19,0.43730304373520973
ENSG00000224616.5,10037,47,0.1528266396059673
ENSG00000233184.9,9868,48,0.15875127668803635
ENSG00000225938.3,2070,17,0.26803018490416897
ENSG00000273382.1,2888,15,0.16951151298017042
ENSG00000258634.3,4216,86,0.6657374360509006
ENSG00000227963.2,2738,12,0.14303849510204006
ENSG00000224699.11,12743,59,0.15110730450557008
ENSG00000273373.1,2850,138,1.5802993316764684
ENSG00000232811.1,2359,10,0.13834937105743453
ENSG00000260948.1,2023,20,0.3226556266183767
ENSG00000231246.3,6917,36,0.16985950538790762
ENSG00000215866.9,3183,14,0.1435477954301864
ENSG00000226419.8,12682,178,0.4580758366642397
ENSG00000287807.1,1389,30,0.7048945276986783
ENSG00000238198.2,2467,10,0.13229273057336363
ENSG00000226167.1,1734,11,0.2070373604134584
ENSG00000203865.13,14104,35,0.08098990230684262
ENSG00000231365.7,12000,159,0.4324351703799467
ENSG00000293296.1,1834,16,0.28472511784033855
ENSG00000290999.1,4491,144,1.046464661561485
ENSG00000289318.2,1524,15,0.3212265416579607
ENSG00000293505.1,2644,42,0.5184333958255861
ENSG00000234222.6,3248,27,0.2713019239766372
ENSG00000233396.9,4618,21,0.14841250525799587
ENSG00000287978.1,668,46,2.2474316842704267
ENSG00000293279.1,2832,18,0.20743612266386954
ENSG00000278811.4,5564,23,0.13491052885447924
ENSG00000274265.5,4291,45,0.34226235107438735
ENSG00000291233.1,1249,896,23.41265692768145
ENSG00000291158.1,11379,11,0.031549589854726855
ENSG00000290792.1,6440,19,0.09628815466095145
ENSG00000285184.5,4501,138,1.0006338803105832
ENSG00000288880.2,1127,33,0.9556418357327512
ENSG00000261168.1,1536,722,15.340909641033878
ENSG00000289288.2,1262,24,0.6206646586202625
ENSG00000203288.6,1458,19,0.4253057037150393
ENSG00000237975.7,14980,10,0.021786793479605344
ENSG00000285867.1,3176,18,0.18496823028465947
ENSG00000272654.2,1434,15,0.34138720326829297
ENSG00000225855.7,3516,95,0.8818198464398853
ENSG00000235919.5,1225,38,1.012401169006575
ENSG00000289593.2,432,14,1.0576681316071372
ENSG00000225670.4,5208,29,0.1817323122774607
ENSG00000272668.2,7134,18,0.08234638342922322
ENSG00000227741.1,1578,11,0.22750493216535922
ENSG00000228606.4,1384,37,0.872510704769224
ENSG00000289106.2,531,405,24.89233471966434
ENSG00000288670.1,1807,882,15.92999218030982
ENSG00000283696.1,997,11,0.36008303205309616
ENSG00000288093.1,1871,19,0.3314247546854769
ENSG00000226889.4,1491,14,0.30644710453003576
ENSG00000272574.1,505,12,0.775523563543338
ENSG00000287218.1,1939,18,0.3029701389293855
ENSG00000273160.1,303,10,1.0771160604768584
ENSG00000213062.5,14107,146,0.33777174653275155
ENSG00000271811.1,2045,42,0.6702874809598288
ENSG00000230630.5,3195,73,0.7456879543564204
ENSG00000203739.6,4912,30,0.19932787031218732
ENSG00000234741.10,4932,302,1.9984302966341319
ENSG00000270084.2,814,25,1.0023530906771747
ENSG00000254154.8,7841,20,0.08324605696326695
ENSG00000293477.1,5341,144,0.8799237586730253
ENSG00000260360.2,1522,13,0.2787621657173682
ENSG00000285847.2,7564,21,0.09060932698062202
ENSG00000229739.4,6997,17,0.07929433796650417
ENSG00000285280.2,10098,22,0.07110373993997561
ENSG00000234132.2,854,20,0.7643235745304171
ENSG00000229821.1,771,113,4.783317353393924
ENSG00000224536.2,1516,13,0.27986544605661906
ENSG00000223774.5,671,24,1.1673305501919096
ENSG00000234678.2,5569,22,0.1289289936997439
ENSG00000228288.9,1624,15,0.3014465821962636
ENSG00000240219.1,2219,15,0.22061705700168188
ENSG00000286619.1,6230,156,0.81722507137432
ENSG00000203709.14,9637,751,2.543332893117054
ENSG00000289071.2,644,12,0.6081357136481144
ENSG00000284237.1,7440,30,0.13159926061471292
ENSG00000227591.6,521,37,2.3177635612295697
ENSG00000153363.15,6942,115,0.5406526811771265
ENSG00000226251.8,2749,11,0.13059395524079187
ENSG00000260805.3,1930,20,0.3382032811652726
ENSG00000198468.11,4283,16,0.12192058513172563
ENSG00000232480.3,1847,10,0.17670068561152574
ENSG00000228063.4,6275,33,0.1716347966327985
ENSG00000277007.1,2614,14,0.17479442725871588
ENSG00000238078.1,962,11,0.373183766067502
ENSG00000272750.1,2646,11,0.13567754457934122
ENSG00000289880.1,90,10,3.6262907369387567
ENSG00000288999.2,638,17,0.8696277159116452
ENSG00000291068.1,4195,230,1.7893734983225804
ENSG00000290989.1,4287,210,1.5987146006098087
ENSG00000227496.3,3547,132,1.2145569200685769
ENSG00000242861.1,348,30,2.813501433831794
ENSG00000272562.2,1542,10,0.21165121032716477
ENSG00000225518.3,1613,45,0.9105069736269041
ENSG00000287627.1,605,28,1.510454984642259
ENSG00000269934.3,10019,296,0.9642118498058535
ENSG00000270110.2,1130,50,1.4440980810818056
ENSG00000287315.1,4828,187,1.2640943061863972
ENSG00000177788.7,8197,213,0.8480662855571058
ENSG00000288862.1,977,34,1.1357676207812277
ENSG00000233461.6,4472,17,0.12406585034696548
ENSG00000231663.3,858,69,2.624623015896233
ENSG00000231768.2,3244,16,0.16096974911195464
ENSG00000272195.1,1739,32,0.6005587879461539
ENSG00000260855.1,3472,46,0.4323975705911996
ENSG00000221953.5,2258,13,0.18789903287060872
ENSG00000259865.1,1246,35,0.9167588941699103
ENSG00000290124.1,150,12,2.6109293305959045
ENSG00000290683.1,878,32,1.1894894444628266
ENSG00000289234.2,11140,127,0.3720691483232494
ENSG00000290112.1,293,12,1.3366532409194052
ENSG00000234171.5,4432,160,1.1782172069476102
ENSG00000287126.1,3700,55,0.4851388958877525
ENSG00000225964.6,2749,16,0.18995484398660636
ENSG00000228203.8,5898,37,0.2047397109868779
ENSG00000235092.7,7540,20,0.0865692748871321
ENSG00000260077.1,1572,105,2.179926683465092
ENSG00000257135.8,4731,19,0.13107074952790687
ENSG00000243819.4,1756,10,0.18585772569731665
ENSG00000271952.3,1246,25,0.6548277815499359
ENSG00000230790.2,561,14,0.8144610211306296
ENSG00000236204.7,3782,13,0.1121829762617225
ENSG00000232451.2,1765,12,0.22189201109880208
ENSG00000224361.1,584,50,2.7942308760658228
ENSG00000224165.8,6014,10,0.054267736335964094
ENSG00000272148.1,480,22,1.495844928987237
ENSG00000234072.1,3412,37,0.35391407250897006
ENSG00000205334.4,3262,32,0.3201630080436425
ENSG00000270210.1,775,18,0.7580117411407464
ENSG00000226833.7,6440,164,0.831118808652423
ENSG00000271228.1,308,18,1.907334738259995
ENSG00000288937.2,1104,22,0.6503673604292335
ENSG00000289727.1,5808,20,0.11238504350016808
ENSG00000276334.1,1621,28,0.5637416814981904
ENSG00000286415.1,2407,29,0.39321224858372056
ENSG00000272054.1,3803,50,0.4290904106290929
ENSG00000288994.1,704,17,0.7881001175449286
ENSG00000231367.6,5386,44,0.26661922239653685
ENSG00000231312.8,12609,90,0.23295229573482376
ENSG00000289003.1,1275,14,0.3583628492974771
ENSG00000230587.5,3472,21,0.1973988909220694
ENSG00000287387.1,2633,23,0.2850900807240116
ENSG00000289272.1,1008,64,2.0721661353935747
ENSG00000250116.2,1519,11,0.23634152926723956
ENSG00000222005.9,3360,10,0.09713278759657383
ENSG00000239332.7,4240,21,0.1616436201135436
ENSG00000228925.1,1835,10,0.17785622143023874
ENSG00000233230.3,1587,16,0.3290396131815885
ENSG00000230773.9,8057,12,0.04860858875380236
ENSG00000238018.2,1236,81,2.138807400670189
ENSG00000293422.1,2204,59,0.8736662347161884
ENSG00000240401.9,5246,37,0.23018582070160232
ENSG00000233251.8,4369,178,1.3296676037024235
ENSG00000212978.6,3109,23,0.24144167981547848
ENSG00000293434.1,9083,305,1.0959119313989745
ENSG00000273302.1,791,32,1.3203182455605078
ENSG00000270820.8,2681,47,0.5721450882973121
ENSG00000289410.2,1275,18,0.460752234811042
ENSG00000286360.1,1200,15,0.4079577079056101
ENSG00000293170.1,1334,37,0.9052135047980554
ENSG00000289943.1,959,35,1.191117395344847
ENSG00000225889.10,9255,14,0.04936927421440122
ENSG00000237638.3,6379,24,0.12279021777375317
ENSG00000293332.1,2993,24,0.2617035747339697
ENSG00000289250.1,1033,34,1.0741964816101253
ENSG00000179818.17,33645,372,0.3608506876882436
ENSG00000288065.1,1143,100,2.8553470369596505
ENSG00000289327.2,1390,29,0.6809078290223133
ENSG00000286244.1,644,11,0.5574577375107715
ENSG00000225439.4,3946,69,0.5706858965126628
ENSG00000257702.5,2540,20,0.2569812333263686
ENSG00000204792.2,4176,29,0.22664317105867224
ENSG00000271452.1,466,28,1.9609984242673102
ENSG00000290085.1,949,19,0.6534201433261616
