lncRNA_id,line1_name,line1_family,chr,lncrna_start,lncrna_end,line1_start,line1_end,association_type,distance
ENSG00000272667.1,L1ME3C,L1,chr2,127886556,127887185,127849373,127849756,proximal,36800
ENSG00000272667.1,L1M5,L1,chr2,127886556,127887185,127849897,127850117,proximal,36439
ENSG00000272667.1,L1ME4b,L1,chr2,127886556,127887185,127850476,127850565,proximal,35991
ENSG00000272667.1,L1MC,L1,chr2,127886556,127887185,127850678,127850775,proximal,35781
ENSG00000272667.1,L1MA4A,L1,chr2,127886556,127887185,127851602,127851742,proximal,34814
ENSG00000272667.1,L1PA15,L1,chr2,127886556,127887185,127853232,127853558,proximal,32998
ENSG00000272667.1,HAL1,L1,chr2,127886556,127887185,127858561,127858585,proximal,27971
ENSG00000272667.1,HAL1,L1,chr2,127886556,127887185,127858905,127859051,proximal,27505
ENSG00000272667.1,L1MC5,L1,chr2,127886556,127887185,127878926,127879071,proximal,7485
ENSG00000272667.1,L1ME3,L1,chr2,127886556,127887185,127890320,127890737,proximal,3135
ENSG00000272667.1,L1MD,L1,chr2,127886556,127887185,127894318,127894524,proximal,7133
ENSG00000272667.1,L1MD1,L1,chr2,127886556,127887185,127894932,127895181,proximal,7747
ENSG00000272667.1,L1MD1,L1,chr2,127886556,127887185,127895472,127895523,proximal,8287
ENSG00000272667.1,L1MD1,L1,chr2,127886556,127887185,127896129,127896236,proximal,8944
ENSG00000272667.1,L1MD1,L1,chr2,127886556,127887185,127896517,127896973,proximal,9332
ENSG00000272667.1,L1MD1,L1,chr2,127886556,127887185,127897563,127898254,proximal,10378
ENSG00000272667.1,L1PA5,L1,chr2,127886556,127887185,127902019,127902273,proximal,14834
ENSG00000272667.1,L1ME3A,L1,chr2,127886556,127887185,127907482,127907559,proximal,20297
ENSG00000272667.1,L1ME3A,L1,chr2,127886556,127887185,127907676,127907982,proximal,20491
ENSG00000272667.1,L1MA3,L1,chr2,127886556,127887185,127909669,127909709,proximal,22484
ENSG00000272667.1,L1MA3,L1,chr2,127886556,127887185,127910010,127910135,proximal,22825
ENSG00000272667.1,L1MA3,L1,chr2,127886556,127887185,127910465,127910670,proximal,23280
ENSG00000272667.1,L1ME3G,L1,chr2,127886556,127887185,127911915,127912087,proximal,24730
ENSG00000272667.1,L1ME4c,L1,chr2,127886556,127887185,127912167,127912214,proximal,24982
ENSG00000272667.1,L1ME3G,L1,chr2,127886556,127887185,127912320,127912374,proximal,25135
ENSG00000272667.1,L1MB4,L1,chr2,127886556,127887185,127927682,127927984,proximal,40497
ENSG00000272667.1,L1MA4,L1,chr2,127886556,127887185,127928300,127928569,proximal,41115
ENSG00000272667.1,L1MB4,L1,chr2,127886556,127887185,127928873,127928908,proximal,41688
ENSG00000272667.1,L1MB4,L1,chr2,127886556,127887185,127929205,127929740,proximal,42020
ENSG00000272667.1,L1MB4,L1,chr2,127886556,127887185,127930029,127930734,proximal,42844
ENSG00000272667.1,L1PB4,L1,chr2,127886556,127887185,127931586,127931730,proximal,44401
ENSG00000272667.1,L1MB4,L1,chr2,127886556,127887185,127933649,127934331,proximal,46464
ENSG00000272667.1,L1MB4,L1,chr2,127886556,127887185,127934605,127934882,proximal,47420
ENSG00000272667.1,L1MB4,L1,chr2,127886556,127887185,127935188,127935248,proximal,48003
ENSG00000272667.1,L1MB4,L1,chr2,127886556,127887185,127935578,127936137,proximal,48393
ENSG00000272667.1,L1MB8,L1,chr2,127886556,127887185,127936161,127936245,proximal,48976
ENSG00000272667.1,L1MC,L1,chr2,127886556,127887185,127936531,127937165,proximal,49346
ENSG00000226334.1,L1MA4A,L1,chr9,104927553,104928892,104884149,104884259,proximal,43294
ENSG00000226334.1,L1ME4a,L1,chr9,104927553,104928892,104890803,104891123,proximal,36430
ENSG00000226334.1,L1ME4a,L1,chr9,104927553,104928892,104892012,104892075,proximal,35478
ENSG00000226334.1,L1MA9,L1,chr9,104927553,104928892,104892343,104892417,proximal,35136
ENSG00000226334.1,L1ME4c,L1,chr9,104927553,104928892,104892689,104893085,proximal,34468
ENSG00000226334.1,L1MD,L1,chr9,104927553,104928892,104895994,104896465,proximal,31088
ENSG00000226334.1,L1ME4c,L1,chr9,104927553,104928892,104897275,104897546,proximal,30007
ENSG00000226334.1,L1ME1,L1,chr9,104927553,104928892,104908052,104908384,proximal,19169
ENSG00000226334.1,L1ME1,L1,chr9,104927553,104928892,104908669,104909005,proximal,18548
ENSG00000226334.1,L1MA9,L1,chr9,104927553,104928892,104911051,104911112,proximal,16441
ENSG00000226334.1,L1ME4a,L1,chr9,104927553,104928892,104937142,104937208,proximal,8250
ENSG00000226334.1,L1ME4a,L1,chr9,104927553,104928892,104937499,104938005,proximal,8607
ENSG00000226334.1,L1ME4a,L1,chr9,104927553,104928892,104942985,104943308,proximal,14093
ENSG00000226334.1,L1ME4a,L1,chr9,104927553,104928892,104943439,104943519,proximal,14547
ENSG00000226334.1,L1ME4a,L1,chr9,104927553,104928892,104943840,104943982,proximal,14948
ENSG00000226334.1,L1ME1,L1,chr9,104927553,104928892,104944009,104944726,proximal,15117
ENSG00000226334.1,L1ME1,L1,chr9,104927553,104928892,104959202,104959478,proximal,30310
ENSG00000226334.1,L1ME3C,L1,chr9,104927553,104928892,104963836,104964142,proximal,34944
ENSG00000226334.1,L1ME3C,L1,chr9,104927553,104928892,104964440,104964748,proximal,35548
ENSG00000226334.1,L1ME3C,L1,chr9,104927553,104928892,104965169,104965512,proximal,36277
ENSG00000226334.1,L1ME3C,L1,chr9,104927553,104928892,104965840,104966075,proximal,36948
ENSG00000226334.1,L1MC5a,L1,chr9,104927553,104928892,104975495,104975535,proximal,46603
ENSG00000226334.1,L1MC5a,L1,chr9,104927553,104928892,104975834,104975866,proximal,46942
ENSG00000226334.1,L1MC1,L1,chr9,104927553,104928892,104975879,104975898,proximal,46987
ENSG00000226334.1,L1MC1,L1,chr9,104927553,104928892,104976191,104976301,proximal,47299
ENSG00000238246.1,L1PA8,L1,chr10,20070805,20091784,20021256,20021438,proximal,49367
ENSG00000238246.1,L1PA16,L1,chr10,20070805,20091784,20024598,20025268,proximal,45537
ENSG00000238246.1,L1PA16,L1,chr10,20070805,20091784,20025561,20025790,proximal,45015
ENSG00000238246.1,L1PA5,L1,chr10,20070805,20091784,20032945,20033200,proximal,37605
ENSG00000238246.1,L1PA5,L1,chr10,20070805,20091784,20037360,20037512,proximal,33293
ENSG00000238246.1,L1M7,L1,chr10,20070805,20091784,20040969,20041108,proximal,29697
ENSG00000238246.1,L1M7,L1,chr10,20070805,20091784,20041225,20041593,proximal,29212
ENSG00000238246.1,L1MCc,L1,chr10,20070805,20091784,20048689,20048932,proximal,21873
ENSG00000238246.1,L1PA14,L1,chr10,20070805,20091784,20049134,20051395,proximal,19410
ENSG00000238246.1,L1PA4,L1,chr10,20070805,20091784,20054533,20054864,proximal,15941
ENSG00000238246.1,L1MA4A,L1,chr10,20070805,20091784,20058139,20058291,proximal,12514
ENSG00000238246.1,L1MC4a,L1,chr10,20070805,20091784,20060988,20061663,proximal,9142
ENSG00000238246.1,L1MB3,L1,chr10,20070805,20091784,20077808,20077851,overlap,0
ENSG00000238246.1,L1M5,L1,chr10,20070805,20091784,20078917,20079061,overlap,0
ENSG00000238246.1,L1PA8,L1,chr10,20070805,20091784,20079132,20079963,overlap,0
ENSG00000238246.1,L1MC,L1,chr10,20070805,20091784,20079967,20080116,overlap,0
ENSG00000238246.1,L1MCa,L1,chr10,20070805,20091784,20080123,20080249,overlap,0
