Geneid,Length,counts,fpkm
ENSG00000174407.15,1231,3815,101.14434805263379
ENSG00000265142.9,5825,12869,72.1031106339886
ENSG00000265751.1,679,1273,61.18764797217574
ENSG00000260032.2,5401,9336,56.414636711820414
ENSG00000289950.1,309,474,50.06393619346517
ENSG00000278445.1,662,720,35.49601808967242
ENSG00000245532.11,22767,24016,34.427064832647716
ENSG00000250041.3,2227,2089,30.614230868965226
ENSG00000204460.3,2213,1996,29.436369994743703
ENSG00000289965.1,392,311,25.892825950743823
ENSG00000289106.2,531,405,24.89233471966434
ENSG00000291233.1,1249,896,23.41265692768145
ENSG00000254343.2,752,504,21.87347710472633
ENSG00000289901.1,161,98,19.865766645838402
ENSG00000225733.8,6045,3260,17.60055752221391
ENSG00000259291.2,2902,1519,17.08305329589584
ENSG00000248275.3,1679,878,17.066676237814203
ENSG00000235070.3,1134,569,16.375868486652003
ENSG00000288670.1,1807,882,15.92999218030982
ENSG00000229444.1,469,228,15.86598846950603
ENSG00000261168.1,1536,722,15.340909641033878
ENSG00000289579.1,1318,587,14.535427893207471
ENSG00000288777.1,923,400,14.14371251677088
ENSG00000290018.1,487,209,14.00626873959302
ENSG00000248092.8,6987,2994,13.985119535931261
ENSG00000236208.3,991,408,13.436669612552082
ENSG00000260398.1,3754,1514,13.162450074994005
ENSG00000272975.1,2274,897,12.873810518604477
ENSG00000230943.4,2523,979,12.663990361937131
ENSG00000251562.11,10434,3970,12.417804104928289
ENSG00000247556.7,22370,8422,12.28724118366043
ENSG00000278133.1,756,253,10.922042338636968
ENSG00000250978.5,837,276,10.761895090269858
ENSG00000231806.4,5904,1924,10.635645393094768
ENSG00000290706.1,5545,1763,10.376619499189765
ENSG00000248514.1,456,141,10.091585406086143
ENSG00000245910.9,2527,701,9.053529188502814
ENSG00000254614.2,1791,495,9.02017042605369
ENSG00000290021.1,355,96,8.82567661046503
ENSG00000291122.1,5566,1487,8.719124853117387
ENSG00000185847.9,6136,1585,8.430416780057262
ENSG00000263370.1,270,66,7.977839621265263
ENSG00000234638.1,224,54,7.86775579532248
ENSG00000291153.1,4469,1054,7.697246348310816
ENSG00000285155.1,2183,506,7.564877698588683
ENSG00000242902.1,559,129,7.531526915180493
ENSG00000288009.1,1759,399,7.403075631806183
ENSG00000260708.2,672,152,7.38209185733961
ENSG00000267100.2,2014,449,7.2759885143840695
ENSG00000268055.2,571,126,7.20177529892916
ENSG00000276445.1,584,127,7.09734642520719
ENSG00000229619.6,8263,1783,7.04236808128479
ENSG00000263489.1,502,108,7.021423498614484
ENSG00000287104.2,1140,233,6.670466381895239
ENSG00000260804.3,3148,638,6.614409597046486
ENSG00000273033.2,5476,1103,6.573810837397924
ENSG00000262454.4,6049,1218,6.571565392349585
ENSG00000225613.2,462,92,6.499066515552576
ENSG00000289515.2,705,134,6.20327181382715
ENSG00000289254.1,449,85,6.178424084093872
ENSG00000270039.1,578,108,6.09819134308732
ENSG00000228801.8,4893,884,5.896335398137083
ENSG00000261616.1,2677,470,5.729999931733634
ENSG00000255874.4,6344,1112,5.7206679847545825
ENSG00000287580.1,556,97,5.693798225445205
ENSG00000267080.8,4451,775,5.682628148763834
ENSG00000234160.1,289,50,5.646473465821593
ENSG00000272106.1,2038,351,5.6209285760498195
ENSG00000237943.8,5888,1002,5.55398944730192
ENSG00000230555.2,760,129,5.539636244191969
ENSG00000234281.5,1667,278,5.4426991144695664
ENSG00000230082.1,614,102,5.421718072491495
ENSG00000163597.17,5776,957,5.407417264067436
ENSG00000250159.7,13133,2132,5.298200461462031
ENSG00000278730.1,2921,469,5.24018254043769
